my,opp,n,wins,wr,ci_lo,ci_hi
Mega Heracross ex,Alakazam,86,61,70.9,60.6,79.5
Seaking,Mega Lopunny ex,86,48,55.8,45.3,65.8
Mega Lopunny ex,Seaking,86,38,44.2,34.2,54.7
Alakazam,Crustle,83,27,32.5,23.4,43.2
Crustle,Alakazam,83,56,67.5,56.8,76.6
Latias ex,Alakazam,80,66,82.5,72.7,89.3
Alakazam,Latias ex,80,14,17.5,10.7,27.3
Arboliva ex,Alakazam,79,41,51.9,41.1,62.6
Alakazam,Arboliva ex,79,38,48.1,37.4,58.9
Cynthia's Garchomp ex,Mega Lopunny ex,63,51,81.0,69.6,88.8
Mega Lopunny ex,Cynthia's Garchomp ex,63,12,19.0,11.2,30.4
Marnie's Grimmsnarl ex,Alakazam,57,30,52.6,39.9,65.0
Alakazam,Marnie's Grimmsnarl ex,57,27,47.4,35.0,60.1
Alakazam,Sylveon,56,15,26.8,17.0,39.6
Sylveon,Alakazam,56,41,73.2,60.4,83.0
Mega Lopunny ex,Crustle,54,20,37.0,25.4,50.4
Crustle,Mega Lopunny ex,54,34,63.0,49.6,74.6
Mega Heracross ex,Mega Lopunny ex,52,26,50.0,36.9,63.1
Mega Lopunny ex,Mega Heracross ex,52,26,50.0,36.9,63.1
Mega Lucario ex,Mega Lopunny ex,47,38,80.9,67.5,89.6
Mega Lopunny ex,Mega Lucario ex,47,9,19.1,10.4,32.5
Okidogi,Dragapult ex,35,8,22.9,12.1,39.0
Dragapult ex,Okidogi,35,27,77.1,61.0,87.9
Sylveon,Mega Lopunny ex,32,1,3.1,0.6,15.7
Mega Lopunny ex,Sylveon,32,31,96.9,84.3,99.4
Thwackey,Seaking,30,15,50.0,33.2,66.8
Seaking,Thwackey,30,15,50.0,33.2,66.8
Arboliva ex,Mega Lopunny ex,29,19,65.5,47.3,80.1
Mega Lopunny ex,Arboliva ex,29,10,34.5,19.9,52.7
Hydrapple ex,Okidogi,28,15,53.6,35.8,70.5
Okidogi,Hydrapple ex,28,13,46.4,29.5,64.2
Latias ex,Sylveon,28,9,32.1,17.9,50.7
Sylveon,Latias ex,28,19,67.9,49.3,82.1
Dragapult ex,Teal Mask Ogerpon ex,26,21,80.8,62.1,91.5
Teal Mask Ogerpon ex,Dragapult ex,26,5,19.2,8.5,37.9
Mega Lucario ex,Arboliva ex,25,18,72.0,52.4,85.7
Arboliva ex,Mega Lucario ex,25,7,28.0,14.3,47.6
Mega Lucario ex,Sylveon,25,17,68.0,48.4,82.8
Sylveon,Mega Lucario ex,25,8,32.0,17.2,51.6
Marnie's Grimmsnarl ex,Mega Lopunny ex,25,10,40.0,23.4,59.3
Mega Lopunny ex,Marnie's Grimmsnarl ex,25,15,60.0,40.7,76.6
Thwackey,Cynthia's Garchomp ex,25,11,44.0,26.7,62.9
Cynthia's Garchomp ex,Thwackey,25,14,56.0,37.1,73.3
Dragapult ex,N’s Zoroark ex,25,17,68.0,48.4,82.8
N’s Zoroark ex,Dragapult ex,25,8,32.0,17.2,51.6
N’s Zoroark ex,Mega Kangaskhan ex,23,5,21.7,9.7,41.9
Mega Kangaskhan ex,N’s Zoroark ex,23,18,78.3,58.1,90.3
Mega Lopunny ex,Latias ex,22,2,9.1,2.5,27.8
Latias ex,Mega Lopunny ex,22,20,90.9,72.2,97.5
Latias ex,Mega Lucario ex,21,14,66.7,45.4,82.8
Mega Lucario ex,Latias ex,21,7,33.3,17.2,54.6
Thwackey,Crustle,20,1,5.0,0.9,23.6
Crustle,Thwackey,20,19,95.0,76.4,99.1
Mega Kangaskhan ex,Okidogi,20,10,50.0,29.9,70.1
Okidogi,Mega Kangaskhan ex,20,10,50.0,29.9,70.1
Arboliva ex,Sylveon,19,12,63.2,41.0,80.9
Sylveon,Arboliva ex,19,7,36.8,19.1,59.0
Seaking,Mega Heracross ex,19,6,31.6,15.4,54.0
Mega Heracross ex,Seaking,19,13,68.4,46.0,84.6
Seaking,Crustle,18,2,11.1,3.1,32.8
Crustle,Seaking,18,16,88.9,67.2,96.9
Cynthia's Garchomp ex,Seaking,18,12,66.7,43.7,83.7
Seaking,Cynthia's Garchomp ex,18,6,33.3,16.3,56.3
Thwackey,Thwackey,18,9,50.0,29.0,71.0
Seaking,Marnie's Grimmsnarl ex,16,11,68.8,44.4,85.8
Marnie's Grimmsnarl ex,Seaking,16,5,31.2,14.2,55.6
Hydrapple ex,Teal Mask Ogerpon ex,16,13,81.2,57.0,93.4
Teal Mask Ogerpon ex,Hydrapple ex,16,3,18.8,6.6,43.0
N’s Zoroark ex,Hydrapple ex,16,3,18.8,6.6,43.0
Hydrapple ex,N’s Zoroark ex,16,13,81.2,57.0,93.4
Mega Starmie ex,Dragapult ex,15,2,13.3,3.7,37.9
Dragapult ex,Mega Starmie ex,15,13,86.7,62.1,96.3
Teal Mask Ogerpon ex,Mega Kangaskhan ex,14,5,35.7,16.3,61.2
Mega Kangaskhan ex,Teal Mask Ogerpon ex,14,9,64.3,38.8,83.7
Thwackey,Mega Lucario ex,13,7,53.8,29.1,76.8
Mega Lucario ex,Thwackey,13,6,46.2,23.2,70.9
Cynthia's Garchomp ex,Mega Lucario ex,12,6,50.0,25.4,74.6
Mega Lucario ex,Cynthia's Garchomp ex,12,6,50.0,25.4,74.6
Thwackey,Mega Heracross ex,11,8,72.7,43.4,90.3
Mega Heracross ex,Thwackey,11,3,27.3,9.7,56.6
Mega Starmie ex,Mega Kangaskhan ex,11,6,54.5,28.0,78.7
Mega Kangaskhan ex,Mega Starmie ex,11,5,45.5,21.3,72.0
Mega Heracross ex,Cynthia's Garchomp ex,11,5,45.5,21.3,72.0
Cynthia's Garchomp ex,Mega Heracross ex,11,6,54.5,28.0,78.7
Latias ex,Arboliva ex,11,2,18.2,5.1,47.7
Arboliva ex,Latias ex,11,9,81.8,52.3,94.9
Seaking,Seaking,10,5,50.0,23.7,76.3
Okidogi,Alakazam,9,3,33.3,12.1,64.6
Alakazam,Okidogi,9,6,66.7,35.4,87.9
Hydrapple ex,Mega Starmie ex,9,3,33.3,12.1,64.6
Mega Starmie ex,Hydrapple ex,9,6,66.7,35.4,87.9
N’s Zoroark ex,Alakazam,9,5,55.6,26.7,81.1
Alakazam,N’s Zoroark ex,9,4,44.4,18.9,73.3
Mega Lucario ex,Crustle,8,2,25.0,7.1,59.1
Crustle,Mega Lucario ex,8,6,75.0,40.9,92.9
Mega Heracross ex,Crustle,8,2,25.0,7.1,59.1
Crustle,Mega Heracross ex,8,6,75.0,40.9,92.9
Mega Lucario ex,Seaking,8,3,37.5,13.7,69.4
Seaking,Mega Lucario ex,8,5,62.5,30.6,86.3
Cynthia's Garchomp ex,Cynthia's Garchomp ex,8,4,50.0,21.5,78.5
Thwackey,Sylveon,7,4,57.1,25.0,84.2
Sylveon,Thwackey,7,3,42.9,15.8,75.0
Thwackey,Latias ex,7,1,14.3,2.6,51.3
Latias ex,Thwackey,7,6,85.7,48.7,97.4
Latias ex,Seaking,7,6,85.7,48.7,97.4
Seaking,Latias ex,7,1,14.3,2.6,51.3
Marnie's Grimmsnarl ex,Thwackey,7,1,14.3,2.6,51.3
Thwackey,Marnie's Grimmsnarl ex,7,6,85.7,48.7,97.4
Mega Heracross ex,Mega Lucario ex,7,5,71.4,35.9,91.8
Mega Lucario ex,Mega Heracross ex,7,2,28.6,8.2,64.1
Crustle,Latias ex,6,2,33.3,9.7,70.0
Latias ex,Crustle,6,4,66.7,30.0,90.3
Alakazam,Teal Mask Ogerpon ex,6,5,83.3,43.6,97.0
Teal Mask Ogerpon ex,Alakazam,6,1,16.7,3.0,56.4
Crustle,Arboliva ex,6,5,83.3,43.6,97.0
Arboliva ex,Crustle,6,1,16.7,3.0,56.4
Hydrapple ex,Mega Gardevoir ex,6,6,100.0,61.0,100.0
Mega Gardevoir ex,Hydrapple ex,6,0,0.0,0.0,39.0
Dragapult ex,Mega Gardevoir ex,6,4,66.7,30.0,90.3
Mega Gardevoir ex,Dragapult ex,6,2,33.3,9.7,70.0
N’s Zoroark ex,Seaking,6,2,33.3,9.7,70.0
Seaking,N’s Zoroark ex,6,4,66.7,30.0,90.3
Okidogi,Mega Lopunny ex,5,1,20.0,3.6,62.4
Mega Lopunny ex,Okidogi,5,4,80.0,37.6,96.4
Marnie's Grimmsnarl ex,Crustle,5,0,0.0,0.0,43.4
Crustle,Marnie's Grimmsnarl ex,5,5,100.0,56.6,100.0
Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,4,2,50.0,15.0,85.0
Okidogi,Cynthia's Garchomp ex,4,2,50.0,15.0,85.0
Cynthia's Garchomp ex,Okidogi,4,2,50.0,15.0,85.0
Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,4,3,75.0,30.1,95.4
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,4,1,25.0,4.6,69.9
Mega Lopunny ex,Mega Starmie ex,4,2,50.0,15.0,85.0
Mega Starmie ex,Mega Lopunny ex,4,2,50.0,15.0,85.0
Mega Lopunny ex,N’s Zoroark ex,4,2,50.0,15.0,85.0
N’s Zoroark ex,Mega Lopunny ex,4,2,50.0,15.0,85.0
Cynthia's Garchomp ex,Arboliva ex,4,0,0.0,0.0,49.0
Arboliva ex,Cynthia's Garchomp ex,4,4,100.0,51.0,100.0
Marnie's Grimmsnarl ex,Latias ex,3,1,33.3,6.1,79.2
Latias ex,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Cynthia's Garchomp ex,Sylveon,3,0,0.0,0.0,56.2
Sylveon,Cynthia's Garchomp ex,3,3,100.0,43.8,100.0
Thwackey,Arboliva ex,3,2,66.7,20.8,93.9
Arboliva ex,Thwackey,3,1,33.3,6.1,79.2
Latias ex,Teal Mask Ogerpon ex,3,0,0.0,0.0,56.2
Teal Mask Ogerpon ex,Latias ex,3,3,100.0,43.8,100.0
Team Rocket's Mewtwo ex,Hydrapple ex,3,2,66.7,20.8,93.9
Hydrapple ex,Team Rocket's Mewtwo ex,3,1,33.3,6.1,79.2
Alakazam,Mega Starmie ex,3,3,100.0,43.8,100.0
Mega Starmie ex,Alakazam,3,0,0.0,0.0,56.2
Sylveon,Mega Heracross ex,3,2,66.7,20.8,93.9
Mega Heracross ex,Sylveon,3,1,33.3,6.1,79.2
Sylveon,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Marnie's Grimmsnarl ex,Sylveon,3,1,33.3,6.1,79.2
Seaking,Sylveon,3,3,100.0,43.8,100.0
Sylveon,Seaking,3,0,0.0,0.0,56.2
Cynthia's Garchomp ex,Latias ex,3,1,33.3,6.1,79.2
Latias ex,Cynthia's Garchomp ex,3,2,66.7,20.8,93.9
Marnie's Grimmsnarl ex,Mega Lucario ex,3,2,66.7,20.8,93.9
Mega Lucario ex,Marnie's Grimmsnarl ex,3,1,33.3,6.1,79.2
Mega Heracross ex,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Marnie's Grimmsnarl ex,Mega Heracross ex,3,1,33.3,6.1,79.2
Okidogi,Seaking,2,2,100.0,34.2,100.0
Seaking,Okidogi,2,0,0.0,0.0,65.8
Mega Lucario ex,Mega Lucario ex,2,1,50.0,9.5,90.5
Mega Heracross ex,Arboliva ex,2,0,0.0,0.0,65.8
Arboliva ex,Mega Heracross ex,2,2,100.0,34.2,100.0
Seaking,Teal Mask Ogerpon ex,2,2,100.0,34.2,100.0
Teal Mask Ogerpon ex,Seaking,2,0,0.0,0.0,65.8
Alakazam,Mega Gardevoir ex,2,1,50.0,9.5,90.5
Mega Gardevoir ex,Alakazam,2,1,50.0,9.5,90.5
Team Rocket's Mewtwo ex,Dragapult ex,2,1,50.0,9.5,90.5
Dragapult ex,Team Rocket's Mewtwo ex,2,1,50.0,9.5,90.5
Mega Gardevoir ex,Mega Kangaskhan ex,2,1,50.0,9.5,90.5
Mega Kangaskhan ex,Mega Gardevoir ex,2,1,50.0,9.5,90.5
Dragapult ex,Archaludon ex,2,2,100.0,34.2,100.0
Archaludon ex,Dragapult ex,2,0,0.0,0.0,65.8
Ethan's Typhlosion,Mega Kangaskhan ex,2,1,50.0,9.5,90.5
Mega Kangaskhan ex,Ethan's Typhlosion,2,1,50.0,9.5,90.5
Thwackey,Teal Mask Ogerpon ex,1,0,0.0,0.0,79.3
Teal Mask Ogerpon ex,Thwackey,1,1,100.0,20.7,100.0
Ethan's Typhlosion,Dragapult ex,1,0,0.0,0.0,79.3
Dragapult ex,Ethan's Typhlosion,1,1,100.0,20.7,100.0
Sylveon,Mega Starmie ex,1,0,0.0,0.0,79.3
Mega Starmie ex,Sylveon,1,1,100.0,20.7,100.0
Brambleghast,Alakazam,1,0,0.0,0.0,79.3
Alakazam,Brambleghast,1,1,100.0,20.7,100.0
Thwackey,Mega Starmie ex,1,1,100.0,20.7,100.0
Mega Starmie ex,Thwackey,1,0,0.0,0.0,79.3
Crustle,Okidogi,1,0,0.0,0.0,79.3
Okidogi,Crustle,1,1,100.0,20.7,100.0
Marnie's Grimmsnarl ex,Arboliva ex,1,0,0.0,0.0,79.3
Arboliva ex,Marnie's Grimmsnarl ex,1,1,100.0,20.7,100.0
Sylveon,Crustle,1,0,0.0,0.0,79.3
Crustle,Sylveon,1,1,100.0,20.7,100.0
Crustle,N’s Zoroark ex,1,0,0.0,0.0,79.3
N’s Zoroark ex,Crustle,1,1,100.0,20.7,100.0
Teal Mask Ogerpon ex,Mega Lucario ex,1,0,0.0,0.0,79.3
Mega Lucario ex,Teal Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Mega Gardevoir ex,1,0,0.0,0.0,79.3
Mega Gardevoir ex,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Okidogi,Thwackey,1,1,100.0,20.7,100.0
Thwackey,Okidogi,1,0,0.0,0.0,79.3
Seaking,Arboliva ex,1,0,0.0,0.0,79.3
Arboliva ex,Seaking,1,1,100.0,20.7,100.0
Mega Heracross ex,N’s Zoroark ex,1,0,0.0,0.0,79.3
N’s Zoroark ex,Mega Heracross ex,1,1,100.0,20.7,100.0
Mega Gardevoir ex,Mega Lopunny ex,1,1,100.0,20.7,100.0
Mega Lopunny ex,Mega Gardevoir ex,1,0,0.0,0.0,79.3
