my,opp,n,wins,wr,ci_lo,ci_hi
Marnie's Grimmsnarl ex,Mega Starmie ex,2428,1538,63.3,61.4,65.2
Cynthia's Garchomp ex,Mega Kangaskhan ex,2257,1168,51.8,49.7,53.8
Mega Kangaskhan ex,Cynthia's Garchomp ex,2257,1087,48.2,46.1,50.2
Mega Lopunny ex,Alakazam,2239,993,44.4,42.3,46.4
Alakazam,Mega Lopunny ex,2239,1246,55.6,53.6,57.7
Dragapult ex,Mega Lucario ex,2234,930,41.6,39.6,43.7
Mega Lucario ex,Dragapult ex,2234,1303,58.3,56.3,60.4
Team Rocket's Mewtwo ex,Mega Kangaskhan ex,2189,1268,57.9,55.8,60.0
Mega Kangaskhan ex,Team Rocket's Mewtwo ex,2189,911,41.6,39.6,43.7
Mega Lucario ex,Marnie's Grimmsnarl ex,1989,976,49.1,46.9,51.3
Marnie's Grimmsnarl ex,Mega Lucario ex,1989,1012,50.9,48.7,53.1
Mega Starmie ex,Mega Lucario ex,1957,814,41.6,39.4,43.8
Mega Lucario ex,Mega Starmie ex,1957,1143,58.4,56.2,60.6
Dragapult ex,Mega Kangaskhan ex,1833,764,41.7,39.4,44.0
Mega Kangaskhan ex,Dragapult ex,1833,1069,58.3,56.0,60.6
Archaludon ex,Mega Starmie ex,1799,1227,68.2,66.0,70.3
Mega Starmie ex,Archaludon ex,1799,571,31.7,29.6,33.9
Archaludon ex,Marnie's Grimmsnarl ex,1768,684,38.7,36.4,41.0
Marnie's Grimmsnarl ex,Archaludon ex,1768,1082,61.2,58.9,63.4
Mega Lucario ex,Archaludon ex,1734,624,36.0,33.8,38.3
Archaludon ex,Mega Lucario ex,1734,1110,64.0,61.7,66.2
Alakazam,Thwackey,1653,734,44.4,42.0,46.8
Thwackey,Alakazam,1653,919,55.6,53.2,58.0
Mega Lopunny ex,Mega Lopunny ex,1554,775,49.9,47.4,52.4
Iono’s Bellibolt ex,Mega Lucario ex,1470,324,22.0,20.0,24.2
Mega Lucario ex,Iono’s Bellibolt ex,1470,1146,78.0,75.8,80.0
Mega Kangaskhan ex,Mega Lopunny ex,1451,451,31.1,28.8,33.5
Mega Lopunny ex,Mega Kangaskhan ex,1451,994,68.5,66.1,70.8
Alakazam,Crustle,1447,932,64.4,61.9,66.8
Crustle,Alakazam,1447,515,35.6,33.2,38.1
Hop’s Snorlax,Mega Starmie ex,1427,361,25.3,23.1,27.6
Mega Starmie ex,Hop’s Snorlax,1427,1063,74.5,72.2,76.7
Dragapult ex,Hop’s Snorlax,1384,1110,80.2,78.0,82.2
Hop’s Snorlax,Dragapult ex,1384,274,19.8,17.8,22.0
Okidogi,Alakazam,1383,673,48.7,46.0,51.3
Alakazam,Okidogi,1383,710,51.3,48.7,54.0
Dragapult ex,Dragapult ex,1376,688,50.0,47.4,52.6
Mega Starmie ex,Mega Kangaskhan ex,1335,901,67.5,64.9,70.0
Mega Kangaskhan ex,Mega Starmie ex,1335,430,32.2,29.8,34.8
Hop’s Snorlax,Archaludon ex,1325,236,17.8,15.8,20.0
Archaludon ex,Hop’s Snorlax,1325,1089,82.2,80.0,84.2
Team Rocket's Mewtwo ex,Team Rocket's Mewtwo ex,1294,647,50.0,47.3,52.7
Mega Starmie ex,Mega Starmie ex,1280,640,50.0,47.3,52.7
Dragapult ex,Archaludon ex,1249,491,39.3,36.6,42.0
Archaludon ex,Dragapult ex,1249,758,60.7,58.0,63.4
Mega Kangaskhan ex,Mega Lucario ex,1165,677,58.1,55.3,60.9
Mega Lucario ex,Mega Kangaskhan ex,1165,487,41.8,39.0,44.7
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,1145,635,55.5,52.6,58.3
Team Rocket's Mewtwo ex,Cynthia's Garchomp ex,1145,510,44.5,41.7,47.4
Mega Lucario ex,Mega Abomasnow ex,1126,825,73.3,70.6,75.8
Mega Abomasnow ex,Mega Lucario ex,1126,301,26.7,24.2,29.4
Alakazam,Teal Mask Ogerpon ex,1085,713,65.7,62.8,68.5
Teal Mask Ogerpon ex,Alakazam,1085,372,34.3,31.5,37.2
Marnie's Grimmsnarl ex,Okidogi,1045,630,60.3,57.3,63.2
Okidogi,Marnie's Grimmsnarl ex,1045,413,39.5,36.6,42.5
Mega Starmie ex,Dragapult ex,1043,627,60.1,57.1,63.0
Dragapult ex,Mega Starmie ex,1043,415,39.8,36.9,42.8
Ethan's Typhlosion,Mega Lucario ex,929,401,43.2,40.0,46.4
Mega Lucario ex,Ethan's Typhlosion,929,526,56.6,53.4,59.8
Alakazam,Chandelure,907,299,33.0,30.0,36.1
Chandelure,Alakazam,907,608,67.0,63.9,70.0
Alakazam,Cornerstone Mask Ogerpon ex,901,436,48.4,45.1,51.7
Cornerstone Mask Ogerpon ex,Alakazam,901,465,51.6,48.3,54.9
Mega Abomasnow ex,Mega Abomasnow ex,894,447,50.0,46.7,53.3
Teal Mask Ogerpon ex,Mega Lopunny ex,877,133,15.2,12.9,17.7
Mega Lopunny ex,Teal Mask Ogerpon ex,877,741,84.5,81.9,86.7
Mega Lopunny ex,Dragapult ex,827,397,48.0,44.6,51.4
Dragapult ex,Mega Lopunny ex,827,430,52.0,48.6,55.4
Dragapult ex,Team Rocket's Mewtwo ex,812,524,64.5,61.2,67.7
Team Rocket's Mewtwo ex,Dragapult ex,812,288,35.5,32.3,38.8
Alakazam,Iono’s Bellibolt ex,804,363,45.1,41.7,48.6
Iono’s Bellibolt ex,Alakazam,804,441,54.9,51.4,58.3
Mega Kangaskhan ex,Thwackey,784,363,46.3,42.8,49.8
Thwackey,Mega Kangaskhan ex,784,419,53.4,49.9,56.9
Dragapult ex,Cynthia's Garchomp ex,776,373,48.1,44.6,51.6
Cynthia's Garchomp ex,Dragapult ex,776,403,51.9,48.4,55.4
Alakazam,Cubchoo,720,256,35.6,32.1,39.1
Cubchoo,Alakazam,720,464,64.4,60.9,67.9
Crustle,Ethan's Typhlosion,718,146,20.3,17.6,23.4
Ethan's Typhlosion,Crustle,718,572,79.7,76.6,82.4
Teal Mask Ogerpon ex,Mega Kangaskhan ex,711,159,22.4,19.5,25.6
Mega Kangaskhan ex,Teal Mask Ogerpon ex,711,551,77.5,74.3,80.4
Mega Lucario ex,Mega Lopunny ex,652,557,85.4,82.5,87.9
Mega Lopunny ex,Mega Lucario ex,652,95,14.6,12.1,17.5
Marnie's Grimmsnarl ex,Cornerstone Mask Ogerpon ex,647,285,44.0,40.3,47.9
Cornerstone Mask Ogerpon ex,Marnie's Grimmsnarl ex,647,360,55.6,51.8,59.4
Crustle,Dragapult ex,639,511,80.0,76.7,82.9
Dragapult ex,Crustle,639,127,19.9,17.0,23.1
Mega Kangaskhan ex,Archaludon ex,620,422,68.1,64.3,71.6
Archaludon ex,Mega Kangaskhan ex,620,197,31.8,28.2,35.5
Marnie's Grimmsnarl ex,Cubchoo,608,444,73.0,69.4,76.4
Cubchoo,Marnie's Grimmsnarl ex,608,164,27.0,23.6,30.6
Cynthia's Garchomp ex,Mega Starmie ex,593,353,59.5,55.5,63.4
Mega Starmie ex,Cynthia's Garchomp ex,593,240,40.5,36.6,44.5
Marnie's Grimmsnarl ex,Chandelure,575,309,53.7,49.7,57.8
Chandelure,Marnie's Grimmsnarl ex,575,266,46.3,42.2,50.3
Crustle,Mega Abomasnow ex,555,479,86.3,83.2,88.9
Mega Abomasnow ex,Crustle,555,76,13.7,11.1,16.8
Iono’s Bellibolt ex,Crustle,524,468,89.3,86.4,91.7
Crustle,Iono’s Bellibolt ex,524,56,10.7,8.3,13.6
Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,492,246,50.0,45.6,54.4
Okidogi,Mega Lucario ex,486,231,47.5,43.1,52.0
Mega Lucario ex,Okidogi,486,255,52.5,48.0,56.9
Iono’s Bellibolt ex,Hop’s Snorlax,482,179,37.1,32.9,41.5
Hop’s Snorlax,Iono’s Bellibolt ex,482,303,62.9,58.5,67.1
Team Rocket's Mewtwo ex,Mega Lucario ex,467,279,59.7,55.2,64.1
Mega Lucario ex,Team Rocket's Mewtwo ex,467,187,40.0,35.7,44.6
Marnie's Grimmsnarl ex,Hydrapple ex,463,133,28.7,24.8,33.0
Hydrapple ex,Marnie's Grimmsnarl ex,463,328,70.8,66.5,74.8
Team Rocket's Mewtwo ex,Mega Starmie ex,459,93,20.3,16.8,24.2
Mega Starmie ex,Team Rocket's Mewtwo ex,459,366,79.7,75.8,83.2
Cynthia's Garchomp ex,Cynthia's Garchomp ex,458,229,50.0,45.4,54.6
Mega Abomasnow ex,Dragapult ex,450,182,40.4,36.0,45.0
Dragapult ex,Mega Abomasnow ex,450,268,59.6,55.0,64.0
Okidogi,Archaludon ex,440,313,71.1,66.7,75.2
Archaludon ex,Okidogi,440,127,28.9,24.8,33.3
Mega Kangaskhan ex,Cornerstone Mask Ogerpon ex,438,269,61.4,56.8,65.9
Cornerstone Mask Ogerpon ex,Mega Kangaskhan ex,438,169,38.6,34.1,43.2
Dragapult ex,Teal Mask Ogerpon ex,426,307,72.1,67.6,76.1
Teal Mask Ogerpon ex,Dragapult ex,426,119,27.9,23.9,32.4
Alakazam,Brambleghast,405,181,44.7,39.9,49.6
Brambleghast,Alakazam,405,224,55.3,50.4,60.1
Team Rocket's Mewtwo ex,Thwackey,403,234,58.1,53.2,62.8
Thwackey,Team Rocket's Mewtwo ex,403,169,41.9,37.2,46.8
Cynthia's Garchomp ex,Archaludon ex,400,241,60.2,55.4,64.9
Archaludon ex,Cynthia's Garchomp ex,400,159,39.8,35.1,44.6
Cynthia's Garchomp ex,Mega Lopunny ex,397,333,83.9,79.9,87.2
Mega Lopunny ex,Cynthia's Garchomp ex,397,64,16.1,12.8,20.1
Okidogi,Mega Kangaskhan ex,396,258,65.2,60.3,69.7
Mega Kangaskhan ex,Okidogi,396,138,34.8,30.3,39.7
Mega Lopunny ex,Thwackey,385,278,72.2,67.5,76.4
Thwackey,Mega Lopunny ex,385,107,27.8,23.6,32.5
Mega Starmie ex,Okidogi,377,226,59.9,54.9,64.8
Okidogi,Mega Starmie ex,377,151,40.1,35.2,45.1
Ethan's Typhlosion,Alakazam,364,111,30.5,26.0,35.4
Alakazam,Ethan's Typhlosion,364,253,69.5,64.6,74.0
Cynthia's Garchomp ex,Mega Lucario ex,329,175,53.2,47.8,58.5
Mega Lucario ex,Cynthia's Garchomp ex,329,154,46.8,41.5,52.2
Crustle,Marnie's Grimmsnarl ex,328,116,35.4,30.4,40.7
Marnie's Grimmsnarl ex,Crustle,328,212,64.6,59.3,69.6
Crustle,Mega Kangaskhan ex,302,160,53.0,47.3,58.5
Mega Kangaskhan ex,Crustle,302,140,46.4,40.8,52.0
Thwackey,Mega Lucario ex,300,150,50.0,44.4,55.6
Mega Lucario ex,Thwackey,300,150,50.0,44.4,55.6
Yveltal,Alakazam,295,136,46.1,40.5,51.8
Alakazam,Yveltal,295,159,53.9,48.2,59.5
Dragapult ex,Thwackey,293,232,79.2,74.2,83.4
Thwackey,Dragapult ex,293,61,20.8,16.6,25.8
Crustle,Hop’s Snorlax,292,82,28.1,23.2,33.5
Hop’s Snorlax,Crustle,292,210,71.9,66.5,76.8
Alakazam,Hydrapple ex,281,191,68.0,62.3,73.2
Hydrapple ex,Alakazam,281,90,32.0,26.8,37.7
Mega Lopunny ex,Team Rocket's Mewtwo ex,279,239,85.7,81.1,89.3
Team Rocket's Mewtwo ex,Mega Lopunny ex,279,40,14.3,10.7,18.9
Cubchoo,Archaludon ex,276,182,65.9,60.2,71.3
Archaludon ex,Cubchoo,276,94,34.1,28.7,39.8
Chandelure,Archaludon ex,274,154,56.2,50.3,62.0
Archaludon ex,Chandelure,274,120,43.8,38.0,49.7
Mega Starmie ex,Crustle,269,213,79.2,73.9,83.6
Crustle,Mega Starmie ex,269,56,20.8,16.4,26.1
Alakazam,Seaking,261,103,39.5,33.7,45.5
Seaking,Alakazam,261,158,60.5,54.5,66.3
Mega Venusaur ex,Marnie's Grimmsnarl ex,261,181,69.3,63.5,74.6
Marnie's Grimmsnarl ex,Mega Venusaur ex,261,80,30.7,25.4,36.5
Seaking,Mega Lucario ex,254,117,46.1,40.0,52.2
Mega Lucario ex,Seaking,254,137,53.9,47.8,60.0
Alakazam,Walrein,250,65,26.0,21.0,31.8
Walrein,Alakazam,250,185,74.0,68.2,79.0
Cynthia's Garchomp ex,Thwackey,249,38,15.3,11.3,20.3
Thwackey,Cynthia's Garchomp ex,249,211,84.7,79.7,88.7
Team Rocket's Mewtwo ex,Hop’s Snorlax,247,166,67.2,61.1,72.8
Hop’s Snorlax,Team Rocket's Mewtwo ex,247,81,32.8,27.2,38.9
Team Rocket's Mewtwo ex,Archaludon ex,242,75,31.0,25.5,37.1
Archaludon ex,Team Rocket's Mewtwo ex,242,167,69.0,62.9,74.5
Cynthia's Garchomp ex,Teal Mask Ogerpon ex,235,93,39.6,33.5,45.9
Teal Mask Ogerpon ex,Cynthia's Garchomp ex,235,142,60.4,54.1,66.5
Yveltal,Marnie's Grimmsnarl ex,229,79,34.5,28.6,40.9
Marnie's Grimmsnarl ex,Yveltal,229,150,65.5,59.1,71.4
Ethan's Typhlosion,Ethan's Typhlosion,224,112,50.0,43.5,56.5
Chandelure,Mega Starmie ex,223,37,16.6,12.3,22.0
Mega Starmie ex,Chandelure,223,186,83.4,78.0,87.7
Brambleghast,Mega Kangaskhan ex,223,95,42.6,36.3,49.2
Mega Kangaskhan ex,Brambleghast,223,128,57.4,50.8,63.7
Hop’s Snorlax,Marnie's Grimmsnarl ex,221,29,13.1,9.3,18.2
Marnie's Grimmsnarl ex,Hop’s Snorlax,221,192,86.9,81.8,90.7
Cynthia's Garchomp ex,Okidogi,220,113,51.4,44.8,57.9
Okidogi,Cynthia's Garchomp ex,220,107,48.6,42.1,55.2
Teal Mask Ogerpon ex,Mega Lucario ex,219,78,35.6,29.6,42.2
Mega Lucario ex,Teal Mask Ogerpon ex,219,141,64.4,57.8,70.4
Mega Lucario ex,Team Rocket's Honchkrow,216,122,56.5,49.8,62.9
Team Rocket's Honchkrow,Mega Lucario ex,216,94,43.5,37.1,50.2
Cubchoo,Mega Starmie ex,214,73,34.1,28.1,40.7
Mega Starmie ex,Cubchoo,214,141,65.9,59.3,71.9
Alakazam,Mega Abomasnow ex,211,149,70.6,64.1,76.3
Mega Abomasnow ex,Alakazam,211,62,29.4,23.7,35.9
Okidogi,Dragapult ex,209,85,40.7,34.2,47.4
Dragapult ex,Okidogi,209,124,59.3,52.6,65.8
Okidogi,Hop’s Snorlax,207,124,59.9,53.1,66.3
Hop’s Snorlax,Okidogi,207,83,40.1,33.7,46.9
Teal Mask Ogerpon ex,Thwackey,207,79,38.2,31.8,44.9
Thwackey,Teal Mask Ogerpon ex,207,128,61.8,55.1,68.2
Thwackey,Thwackey,204,102,50.0,43.2,56.8
Chandelure,Mega Kangaskhan ex,199,81,40.7,34.1,47.6
Mega Kangaskhan ex,Chandelure,199,118,59.3,52.4,65.9
Hydrapple ex,Mega Lopunny ex,196,146,74.5,68.0,80.1
Mega Lopunny ex,Hydrapple ex,196,50,25.5,19.9,32.0
Hop’s Snorlax,Chandelure,190,98,51.6,44.5,58.6
Chandelure,Hop’s Snorlax,190,92,48.4,41.4,55.5
Iono’s Bellibolt ex,Iono’s Bellibolt ex,188,94,50.0,42.9,57.1
Arboliva ex,Marnie's Grimmsnarl ex,182,117,64.3,57.1,70.9
Marnie's Grimmsnarl ex,Arboliva ex,182,65,35.7,29.1,42.9
Iono’s Bellibolt ex,Ethan's Typhlosion,180,161,89.4,84.1,93.1
Ethan's Typhlosion,Iono’s Bellibolt ex,180,19,10.6,6.9,15.9
Hop’s Snorlax,Seaking,175,87,49.7,42.4,57.0
Seaking,Hop’s Snorlax,175,88,50.3,43.0,57.6
N’s Zoroark ex,Alakazam,175,70,40.0,33.0,47.4
Alakazam,N’s Zoroark ex,175,105,60.0,52.6,67.0
Marnie's Grimmsnarl ex,N’s Zoroark ex,173,70,40.5,33.4,47.9
N’s Zoroark ex,Marnie's Grimmsnarl ex,173,103,59.5,52.1,66.6
Chandelure,Mega Lucario ex,171,101,59.1,51.6,66.2
Mega Lucario ex,Chandelure,171,70,40.9,33.8,48.4
Hydrapple ex,Mega Kangaskhan ex,171,88,51.5,44.0,58.8
Mega Kangaskhan ex,Hydrapple ex,171,83,48.5,41.2,56.0
Crustle,Archaludon ex,163,91,55.8,48.2,63.2
Archaludon ex,Crustle,163,72,44.2,36.8,51.8
Cynthia's Garchomp ex,Cornerstone Mask Ogerpon ex,159,109,68.6,61.0,75.3
Cornerstone Mask Ogerpon ex,Cynthia's Garchomp ex,159,50,31.4,24.7,39.0
Thwackey,Mega Starmie ex,158,29,18.4,13.1,25.1
Mega Starmie ex,Thwackey,158,129,81.6,74.9,86.9
Iono’s Bellibolt ex,Mega Starmie ex,157,117,74.5,67.2,80.7
Mega Starmie ex,Iono’s Bellibolt ex,157,40,25.5,19.3,32.8
Crustle,Okidogi,157,16,10.2,6.4,15.9
Okidogi,Crustle,157,141,89.8,84.1,93.6
Mega Kangaskhan ex,Hop’s Snorlax,155,85,54.8,47.0,62.5
Hop’s Snorlax,Mega Kangaskhan ex,155,70,45.2,37.5,53.0
Walrein,Hop’s Snorlax,151,106,70.2,62.5,76.9
Hop’s Snorlax,Walrein,151,44,29.1,22.5,36.8
Dragapult ex,Iono’s Bellibolt ex,150,103,68.7,60.9,75.5
Iono’s Bellibolt ex,Dragapult ex,150,47,31.3,24.5,39.1
Mega Kangaskhan ex,Cubchoo,149,83,55.7,47.7,63.4
Cubchoo,Mega Kangaskhan ex,149,66,44.3,36.6,52.3
Brambleghast,Marnie's Grimmsnarl ex,149,44,29.5,22.8,37.3
Marnie's Grimmsnarl ex,Brambleghast,149,105,70.5,62.7,77.2
Dragapult ex,Hydrapple ex,148,66,44.6,36.8,52.6
Hydrapple ex,Dragapult ex,148,82,55.4,47.4,63.2
Alakazam,Hop's Trevenant,145,54,37.2,29.8,45.3
Hop's Trevenant,Alakazam,145,91,62.8,54.7,70.2
Iono’s Bellibolt ex,Archaludon ex,144,60,41.7,33.9,49.8
Archaludon ex,Iono’s Bellibolt ex,144,84,58.3,50.2,66.1
Alakazam,Team Rocket's Honchkrow,142,46,32.4,25.2,40.5
Team Rocket's Honchkrow,Alakazam,142,96,67.6,59.5,74.8
Mega Starmie ex,Cornerstone Mask Ogerpon ex,138,120,87.0,80.3,91.6
Cornerstone Mask Ogerpon ex,Mega Starmie ex,138,18,13.0,8.4,19.7
Hop’s Snorlax,Thwackey,134,58,43.3,35.2,51.7
Thwackey,Hop’s Snorlax,134,76,56.7,48.3,64.8
Cynthia's Garchomp ex,Hop’s Snorlax,134,97,72.4,64.3,79.3
Hop’s Snorlax,Cynthia's Garchomp ex,134,37,27.6,20.7,35.7
Mega Kangaskhan ex,Mega Abomasnow ex,125,85,68.0,59.4,75.5
Mega Abomasnow ex,Mega Kangaskhan ex,125,40,32.0,24.5,40.6
Okidogi,Cubchoo,123,94,76.4,68.2,83.1
Cubchoo,Okidogi,123,29,23.6,16.9,31.8
Hop’s Snorlax,Hop's Trevenant,119,43,36.1,28.1,45.1
Hop's Trevenant,Hop’s Snorlax,119,74,62.2,53.2,70.4
Mega Lucario ex,Cubchoo,118,61,51.7,42.8,60.5
Cubchoo,Mega Lucario ex,118,57,48.3,39.5,57.2
Alakazam,Mega Froslass ex,116,37,31.9,24.1,40.8
Mega Froslass ex,Alakazam,116,79,68.1,59.2,75.9
Ethan's Typhlosion,Mega Abomasnow ex,113,74,65.5,56.3,73.6
Mega Abomasnow ex,Ethan's Typhlosion,113,39,34.5,26.4,43.7
Cornerstone Mask Ogerpon ex,Dragapult ex,111,36,32.4,24.4,41.6
Dragapult ex,Cornerstone Mask Ogerpon ex,111,75,67.6,58.4,75.6
Dragapult ex,Chandelure,110,75,68.2,59.0,76.1
Chandelure,Dragapult ex,110,35,31.8,23.9,41.0
Mega Starmie ex,Walrein,110,89,80.9,72.6,87.2
Walrein,Mega Starmie ex,110,20,18.2,12.1,26.4
Archaludon ex,Walrein,110,102,92.7,86.3,96.3
Walrein,Archaludon ex,110,8,7.3,3.7,13.7
Mega Kangaskhan ex,Yveltal,110,48,43.6,34.7,53.0
Yveltal,Mega Kangaskhan ex,110,62,56.4,47.0,65.3
Ethan's Typhlosion,Dragapult ex,105,46,43.8,34.7,53.4
Dragapult ex,Ethan's Typhlosion,105,59,56.2,46.6,65.3
Hop's Trevenant,Archaludon ex,103,40,38.8,30.0,48.5
Archaludon ex,Hop's Trevenant,103,63,61.2,51.5,70.0
Seaking,Marnie's Grimmsnarl ex,101,67,66.3,56.7,74.8
Marnie's Grimmsnarl ex,Seaking,101,34,33.7,25.2,43.3
Teal Mask Ogerpon ex,Team Rocket's Mewtwo ex,101,62,61.4,51.6,70.3
Team Rocket's Mewtwo ex,Teal Mask Ogerpon ex,101,39,38.6,29.7,48.4
Okidogi,Okidogi,98,49,50.0,40.3,59.7
Cubchoo,Chandelure,96,85,88.5,80.6,93.5
Chandelure,Cubchoo,96,11,11.5,6.5,19.4
Team Rocket's Honchkrow,Crustle,95,65,68.4,58.5,76.9
Crustle,Team Rocket's Honchkrow,95,29,30.5,22.2,40.4
Mega Lucario ex,Walrein,94,33,35.1,26.2,45.2
Walrein,Mega Lucario ex,94,61,64.9,54.8,73.8
Chandelure,Cynthia's Garchomp ex,94,64,68.1,58.1,76.6
Cynthia's Garchomp ex,Chandelure,94,30,31.9,23.4,41.9
Mega Venusaur ex,Alakazam,93,18,19.4,12.6,28.5
Alakazam,Mega Venusaur ex,93,75,80.6,71.5,87.4
Mega Lopunny ex,Mega Starmie ex,92,39,42.4,32.8,52.6
Mega Starmie ex,Mega Lopunny ex,92,53,57.6,47.4,67.2
Ethan's Typhlosion,Hop’s Snorlax,91,39,42.9,33.2,53.1
Hop’s Snorlax,Ethan's Typhlosion,91,52,57.1,46.9,66.8
Hop’s Snorlax,Team Rocket's Honchkrow,91,51,56.0,45.8,65.8
Team Rocket's Honchkrow,Hop’s Snorlax,91,38,41.8,32.2,52.0
Hop's Trevenant,Mega Lucario ex,89,69,77.5,67.8,85.0
Mega Lucario ex,Hop's Trevenant,89,19,21.3,14.1,31.0
Mega Lucario ex,Cornerstone Mask Ogerpon ex,88,19,21.6,14.3,31.3
Cornerstone Mask Ogerpon ex,Mega Lucario ex,88,69,78.4,68.7,85.7
Cubchoo,Hop’s Snorlax,88,32,36.4,27.1,46.8
Hop’s Snorlax,Cubchoo,88,56,63.6,53.2,72.9
Team Rocket's Mewtwo ex,Cornerstone Mask Ogerpon ex,87,47,54.0,43.6,64.1
Cornerstone Mask Ogerpon ex,Team Rocket's Mewtwo ex,87,40,46.0,35.9,56.4
Archaludon ex,Seaking,84,61,72.6,62.3,81.0
Seaking,Archaludon ex,84,23,27.4,19.0,37.7
Pikachu ex,Mega Lucario ex,83,57,68.7,58.1,77.6
Mega Lucario ex,Pikachu ex,83,26,31.3,22.4,41.9
Hydrapple ex,Mega Lucario ex,79,36,45.6,35.0,56.5
Mega Lucario ex,Hydrapple ex,79,43,54.4,43.5,65.0
Hop’s Snorlax,Mega Abomasnow ex,79,61,77.2,66.8,85.1
Mega Abomasnow ex,Hop’s Snorlax,79,18,22.8,14.9,33.2
Mega Venusaur ex,Mega Lopunny ex,79,20,25.3,17.0,35.9
Mega Lopunny ex,Mega Venusaur ex,79,59,74.7,64.1,83.0
Chandelure,Okidogi,77,28,36.4,26.5,47.5
Okidogi,Chandelure,77,49,63.6,52.5,73.5
N’s Zoroark ex,Mega Kangaskhan ex,76,43,56.6,45.4,67.1
Mega Kangaskhan ex,N’s Zoroark ex,76,33,43.4,32.9,54.6
Mega Venusaur ex,Mega Kangaskhan ex,76,17,22.4,14.5,32.9
Mega Kangaskhan ex,Mega Venusaur ex,76,59,77.6,67.1,85.5
Arboliva ex,Alakazam,75,19,25.3,16.9,36.2
Alakazam,Arboliva ex,75,56,74.7,63.8,83.1
Cubchoo,Cubchoo,74,37,50.0,38.9,61.1
Hydrapple ex,Teal Mask Ogerpon ex,73,54,74.0,62.9,82.7
Teal Mask Ogerpon ex,Hydrapple ex,73,19,26.0,17.3,37.1
Iono’s Bellibolt ex,Mega Abomasnow ex,71,59,83.1,72.7,90.1
