date,sides,Grimmsnarl ex_share,Grimmsnarl ex_win,Alakazam_share,Alakazam_win,M Kangaskhan ex_share,M Kangaskhan ex_win,Dragapult ex_share,Dragapult ex_win,M Lucario ex_share,M Lucario ex_win,743_share,743_win,M Lopunny ex_share,M Lopunny ex_win,Hydrapple ex_share,Hydrapple ex_win,304_share,304_win,TR Mewtwo ex_share,TR Mewtwo ex_win,Archaludon ex_share,Archaludon ex_win,Garchomp ex_share,Garchomp ex_win,M Starmie ex_share,M Starmie ex_win,345_share,345_win
2026-07-14,10173,0.141,0.4575,0.4553,0.5073,0.2207,0.51,0.0029,0.3667,0.0039,0.35,0.0077,0.3462,,,,,,,0.0261,0.5338,0.0016,0.3125,0.0085,0.3837,0.0615,0.5096,,
2026-07-15,9965,0.1193,0.4903,0.4161,0.4896,0.193,0.4862,,,0.007,0.4143,0.0021,0.3333,,,,,,,0.1167,0.5408,0.0036,0.4167,0.0204,0.4877,0.0412,0.5085,,
2026-07-16,9831,0.1156,0.5097,0.3946,0.5019,0.1926,0.4717,0.0254,0.5,0.0032,0.3871,0.002,0.4,,,,,,,0.1248,0.5249,0.0056,0.4,0.0445,0.4943,0.0436,0.5478,,
2026-07-17,9584,0.1696,0.5594,0.4257,0.4919,0.1136,0.4325,0.0514,0.4949,,,0.0014,0.4615,,,,,,,0.079,0.5099,0.002,0.2632,0.0891,0.5422,0.0623,0.4724,,
2026-07-18,9954,0.2819,0.5232,0.3385,0.4746,0.1367,0.4555,0.0394,0.4898,0.0017,0.4706,0.0139,0.4783,,,,,0.0001,0.0,0.0644,0.5445,0.0003,0.0,0.0937,0.5488,0.0286,0.5614,0.0002,1.0
2026-07-19,9404,0.272,0.516,0.3319,0.462,0.0759,0.4286,0.0668,0.508,0.0015,0.6429,0.0016,0.4,0.0002,0.5,,,,,0.1271,0.5715,0.0007,0.1429,0.0819,0.5377,0.0096,0.4222,0.0001,0.0
2026-07-20,9413,0.3138,0.5305,0.3261,0.4661,0.0844,0.4358,0.0627,0.5356,,,0.0021,0.15,0.0032,0.5333,0.0003,0.3333,,,0.1104,0.5467,0.0011,0.6,0.0703,0.5302,0.0032,0.3333,,
2026-07-21,9564,0.3323,0.5211,0.2638,0.4439,0.0731,0.4506,0.0655,0.5511,,,0.0004,0.0,0.0145,0.5396,,,,,0.1698,0.5283,0.0003,0.3333,0.071,0.5552,0.0032,0.4194,,
2026-07-22,9618,0.3848,0.5018,0.1979,0.4477,0.0797,0.4537,0.0427,0.562,0.0014,0.3846,0.0014,0.3846,0.0396,0.5564,,,,,0.1315,0.5257,0.0019,0.4444,0.085,0.566,0.0133,0.5156,,
2026-07-23,9456,0.3963,0.5161,0.2565,0.4751,0.073,0.4899,0.028,0.4792,,,0.0066,0.371,0.0325,0.5407,,,,,0.0968,0.5169,0.0029,0.4074,0.083,0.4981,0.0022,0.5714,,
2026-07-24,9224,0.5385,0.5186,0.1973,0.461,0.082,0.4854,0.0081,0.4533,0.001,0.5556,0.0119,0.3727,0.0014,0.5385,,,,,0.0939,0.5081,,,0.0335,0.4272,0.0029,0.5926,,
2026-07-25,9431,0.5021,0.5005,0.1675,0.4911,0.0617,0.4897,0.013,0.4634,0.0007,0.1429,0.0117,0.4364,0.0041,0.5128,0.0023,0.4545,,,0.1364,0.5194,,,0.0882,0.524,0.0002,0.0,,
2026-07-26,9455,0.5157,0.5,0.1823,0.4751,0.0716,0.548,0.0354,0.5701,,,0.0017,0.375,0.0085,0.5,,,,,0.0883,0.5257,0.0011,0.4,0.0707,0.4656,0.0045,0.4884,,
2026-07-27,9206,0.5719,0.502,0.1183,0.4417,0.0978,0.53,0.0567,0.5594,,,0.0013,0.3333,0.0135,0.5484,,,,,0.091,0.5167,,,0.0342,0.4571,0.0035,0.4688,,
2026-07-28,9126,0.6419,0.4954,0.064,0.4144,0.1055,0.5545,0.0211,0.4819,0.0007,0.5,0.0044,0.425,0.0055,0.6,,,,,0.0842,0.5378,,,0.0204,0.414,0.0016,0.3333,,
2026-07-29,9115,0.626,0.4979,0.0919,0.4749,0.1174,0.5196,0.0148,0.4741,0.0011,0.3,0.0171,0.5513,0.0063,0.5614,,,,,0.0737,0.5238,0.0001,0.0,0.0176,0.4125,0.0026,0.4167,,
2026-07-30,9122,0.6318,0.503,0.0756,0.4493,0.1134,0.4942,0.0291,0.5321,,,0.0071,0.4769,0.009,0.5366,0.0011,0.6,,,0.057,0.5173,0.0002,0.5,0.0271,0.4899,0.0004,0.5,,
2026-07-31,9034,0.6205,0.4882,0.0453,0.445,0.0862,0.4865,0.038,0.5714,,,0.0001,0.0,0.0474,0.6379,0.0009,0.375,,,0.04,0.4515,,,0.0361,0.5337,0.0001,1.0,,
2026-08-01,9391,0.5006,0.4656,0.0375,0.5284,0.0935,0.5182,0.0296,0.5072,0.0014,0.3846,0.002,0.6842,0.1094,0.593,0.0022,0.6667,,,0.0367,0.4145,,,0.0341,0.4469,,,,
2026-08-02,9524,0.4469,0.4629,0.0542,0.4767,0.0888,0.5426,0.0466,0.5563,0.0154,0.7211,0.0076,0.5139,0.1211,0.5802,0.0057,0.4074,,,0.0197,0.4043,,,0.0303,0.5087,,,,
2026-08-03,9782,0.3808,0.4593,0.087,0.49,0.115,0.496,0.0606,0.5565,0.0364,0.6208,0.013,0.4488,0.1055,0.5707,0.0075,0.5342,,,0.0148,0.4483,,,0.0541,0.5066,0.0054,0.4717,,
2026-08-04,9954,0.3112,0.4674,0.1428,0.5102,0.0883,0.471,0.064,0.5447,0.03,0.6522,0.0061,0.4754,0.149,0.5367,,,,,0.0136,0.5037,,,0.0463,0.4816,0.0049,0.5102,,
2026-08-05,9804,0.3,0.4543,0.1799,0.5068,0.1221,0.5163,0.0618,0.5413,0.0384,0.6117,0.011,0.3704,0.1217,0.5616,0.0063,0.5806,,,0.0129,0.4683,,,0.0197,0.4611,,,,
2026-08-06,9608,0.3522,0.4693,0.157,0.5046,0.1113,0.507,0.0596,0.5305,0.0227,0.6009,0.0112,0.4537,0.1211,0.549,0.0161,0.5806,,,0.0094,0.4333,,,0.0126,0.4793,,,,
2026-08-07,9626,0.3191,0.4456,0.1605,0.4997,0.1049,0.5099,0.0699,0.5379,0.0424,0.5539,0.0176,0.5207,0.1485,0.564,0.0259,0.6185,,,0.0045,0.4651,,,0.0085,0.3293,,,,
2026-08-08,9689,0.3051,0.4662,0.1572,0.4957,0.0997,0.5186,0.0824,0.589,0.0359,0.5316,0.0277,0.5037,0.1314,0.4933,0.0243,0.5702,,,0.0074,0.4861,,,0.0108,0.4476,,,,
2026-08-09,9679,0.3211,0.4672,0.1547,0.4923,0.0958,0.466,0.0821,0.5887,0.0429,0.5639,0.0247,0.523,0.1229,0.5252,0.0169,0.5976,,,0.0057,0.4182,,,0.0204,0.533,0.0067,0.6154,,
2026-08-10,9541,0.295,0.4515,0.1682,0.466,0.092,0.5,0.0913,0.5821,0.0399,0.5801,0.027,0.5504,0.1123,0.5145,0.0523,0.6212,,,0.004,0.2632,,,0.0125,0.4622,0.0042,0.45,,
2026-08-11,9598,0.2287,0.4232,0.1532,0.4701,0.071,0.4714,0.1406,0.5915,0.073,0.602,0.0188,0.5,0.1443,0.5177,0.0403,0.5607,,,0.0038,0.4444,,,0.0244,0.5385,,,,
2026-08-12,9552,0.2299,0.4139,0.1164,0.4137,0.0798,0.5459,0.1729,0.5847,0.0619,0.5584,0.0157,0.5533,0.1322,0.5289,0.0717,0.6131,,,0.0043,0.5122,,,0.0117,0.5714,0.0048,0.413,,
2026-08-13,9575,0.1919,0.4197,0.1304,0.486,0.0969,0.5431,0.199,0.5507,0.0391,0.5134,0.0137,0.5725,0.1138,0.4844,0.1048,0.5852,,,,,,,0.0084,0.55,,,0.0065,0.6129
2026-08-14,9239,0.1692,0.4095,0.1193,0.4338,0.1147,0.5387,0.2177,0.5495,0.0318,0.5204,0.0187,0.5318,0.1422,0.4833,0.1101,0.6018,,,0.0026,0.375,,,0.0039,0.4444,,,,
2026-08-15,9692,0.0955,0.3758,0.1056,0.4682,0.1284,0.5506,0.2775,0.5368,0.0356,0.5246,0.0239,0.5302,0.1109,0.4698,0.142,0.5385,,,0.0061,0.5932,,,0.0042,0.3171,,,,
2026-08-17,9347,0.0064,0.2,0.0526,0.4695,0.2636,0.5118,0.386,0.523,0.0172,0.5342,0.0155,0.4759,0.0362,0.4083,0.1642,0.4756,,,,,,,0.0046,0.3256,,,0.0076,0.4225
2026-08-18,9676,0.1743,0.4428,0.1323,0.4906,0.136,0.5433,0.1916,0.5216,0.0226,0.4749,0.0163,0.5253,0.1176,0.5114,0.0965,0.545,,,0.0047,0.4222,,,0.0124,0.5333,,,0.0044,0.4884
2026-08-19,9667,0.0965,0.3773,0.1176,0.4767,0.1622,0.5274,0.2455,0.5247,0.0248,0.4875,0.0183,0.4576,0.1214,0.5111,0.1283,0.5274,,,,,,,0.0097,0.5213,,,0.0039,0.5526
2026-08-20,9654,0.0124,0.4417,0.081,0.4808,0.2274,0.5153,0.3231,0.512,0.0126,0.4918,0.0196,0.5344,0.0635,0.4127,0.181,0.498,,,,,,,0.0089,0.4419,,,0.006,0.431
2026-08-21,9746,0.007,0.2794,0.07,0.5132,0.236,0.5126,0.3304,0.518,0.0137,0.5448,0.0226,0.45,0.0547,0.4353,0.1784,0.4813,,,,,,,0.0081,0.443,,,0.0079,0.5584
2026-08-22,9624,,,0.0708,0.4758,0.2401,0.5236,0.3506,0.5092,0.0161,0.4387,0.0131,0.4444,0.0502,0.3996,0.1733,0.4976,,,,,,,0.0068,0.5538,,,0.0087,0.5595
2026-08-23,9663,,,0.0647,0.4624,0.2323,0.5131,0.3464,0.5079,0.0129,0.488,0.0232,0.5179,0.0515,0.4257,0.1721,0.5081,,,,,,,0.0082,0.4684,,,0.0098,0.5474
2026-08-24,9583,,,0.0617,0.4484,0.2384,0.5225,0.3389,0.4945,0.0143,0.4891,0.0179,0.4826,0.0533,0.4599,0.1728,0.5072,,,,,,,0.0097,0.5591,,,0.0083,0.475
2026-08-25,9721,,,0.0683,0.4669,0.2367,0.515,0.3462,0.512,0.0169,0.4634,0.018,0.4971,0.0464,0.4302,0.1768,0.4916,,,,,,,0.0114,0.4595,,,0.0072,0.5571
2026-08-26,9711,,,0.0695,0.4696,0.2196,0.526,0.337,0.5005,0.0143,0.4892,0.0147,0.4545,0.0513,0.4116,0.194,0.5154,,,,,,,0.0102,0.404,,,0.0084,0.5122
2026-08-27,9695,,,0.071,0.4753,0.2358,0.5153,0.3282,0.5107,0.0139,0.4889,0.0117,0.5221,0.0566,0.408,0.189,0.5049,,,,,,,0.0077,0.5333,,,0.0076,0.5946
2026-08-28,9644,0.0069,0.4328,0.0802,0.4929,0.2407,0.5187,0.332,0.5025,0.0109,0.5524,0.0168,0.5247,0.0592,0.4378,0.1723,0.4904,,,,,,,0.0087,0.4405,,,0.0062,0.4167
2026-08-29,9494,0.0113,0.2991,0.0941,0.4994,0.2275,0.5106,0.3258,0.5057,0.0117,0.4955,0.018,0.5322,0.0506,0.4437,0.1812,0.5012,,,,,,,0.0076,0.4306,,,0.0079,0.5333
2026-08-30,9657,0.0097,0.3511,0.0964,0.4629,0.2311,0.5121,0.3195,0.5267,0.0136,0.4733,0.0146,0.4539,0.0505,0.4201,0.1893,0.4863,,,,,,,0.0047,0.4,,,0.0071,0.5217
