my,opp,n,wins,wr,ci_lo,ci_hi
Thwackey,Marnie's Grimmsnarl ex,443,280,63.2,58.6,67.6
Mega Kangaskhan ex,Mega Kangaskhan ex,422,210,49.8,45.0,54.5
Mega Lucario ex,Alakazam,398,229,57.5,52.6,62.3
Alakazam,Mega Lucario ex,398,169,42.5,37.7,47.4
Teal Mask Ogerpon ex,Alakazam,387,162,41.9,37.0,46.8
Alakazam,Teal Mask Ogerpon ex,387,225,58.1,53.2,63.0
Mega Lucario ex,Mega Lopunny ex,342,271,79.2,74.6,83.2
Mega Lopunny ex,Mega Lucario ex,342,71,20.8,16.8,25.4
Mega Kangaskhan ex,Hydrapple ex,340,147,43.2,38.1,48.5
Hydrapple ex,Mega Kangaskhan ex,340,193,56.8,51.5,61.9
Alakazam,Thwackey,318,137,43.1,37.8,48.6
Thwackey,Alakazam,318,181,56.9,51.4,62.2
Teal Mask Ogerpon ex,Dragapult ex,302,72,23.8,19.4,29.0
Dragapult ex,Teal Mask Ogerpon ex,302,230,76.2,71.0,80.6
Hydrapple ex,Hydrapple ex,302,151,50.0,44.4,55.6
Teal Mask Ogerpon ex,Mega Lopunny ex,290,41,14.1,10.6,18.6
Mega Lopunny ex,Teal Mask Ogerpon ex,290,249,85.9,81.4,89.4
Mega Kangaskhan ex,Mega Lucario ex,244,120,49.2,43.0,55.4
Mega Lucario ex,Mega Kangaskhan ex,244,123,50.4,44.2,56.6
Mega Lopunny ex,Thwackey,234,136,58.1,51.7,64.3
Thwackey,Mega Lopunny ex,234,98,41.9,35.7,48.3
Dragapult ex,Thwackey,227,186,81.9,76.4,86.4
Thwackey,Dragapult ex,227,41,18.1,13.6,23.6
Marnie's Grimmsnarl ex,Cynthia's Garchomp ex,199,83,41.7,35.1,48.7
Cynthia's Garchomp ex,Marnie's Grimmsnarl ex,199,116,58.3,51.3,64.9
Hydrapple ex,Mega Lucario ex,192,110,57.3,50.2,64.1
Mega Lucario ex,Hydrapple ex,192,82,42.7,35.9,49.8
Mega Kangaskhan ex,Teal Mask Ogerpon ex,191,145,75.9,69.4,81.4
Teal Mask Ogerpon ex,Mega Kangaskhan ex,191,45,23.6,18.1,30.1
Mega Kangaskhan ex,Thwackey,153,75,49.0,41.2,56.9
Thwackey,Mega Kangaskhan ex,153,77,50.3,42.5,58.1
Alakazam,Cynthia's Garchomp ex,130,64,49.2,40.8,57.7
Cynthia's Garchomp ex,Alakazam,130,66,50.8,42.3,59.2
Teal Mask Ogerpon ex,Hydrapple ex,124,35,28.2,21.1,36.7
Hydrapple ex,Teal Mask Ogerpon ex,124,89,71.8,63.3,78.9
Mega Lucario ex,Mega Lucario ex,118,59,50.0,41.1,58.9
Hydrapple ex,Thwackey,108,56,51.9,42.5,61.0
Thwackey,Hydrapple ex,108,52,48.1,39.0,57.5
Mega Lucario ex,Teal Mask Ogerpon ex,108,85,78.7,70.1,85.4
Teal Mask Ogerpon ex,Mega Lucario ex,108,23,21.3,14.6,29.9
Teal Mask Ogerpon ex,Teal Mask Ogerpon ex,108,54,50.0,40.7,59.3
Dragapult ex,Cynthia's Garchomp ex,91,40,44.0,34.2,54.2
Cynthia's Garchomp ex,Dragapult ex,91,51,56.0,45.8,65.8
Cynthia's Garchomp ex,Mega Lopunny ex,91,78,85.7,77.1,91.5
Mega Lopunny ex,Cynthia's Garchomp ex,91,13,14.3,8.5,22.9
Thwackey,Mega Lucario ex,91,36,39.6,30.1,49.8
Mega Lucario ex,Thwackey,91,55,60.4,50.2,69.9
Mega Kangaskhan ex,Cynthia's Garchomp ex,85,45,52.9,42.4,63.2
Cynthia's Garchomp ex,Mega Kangaskhan ex,85,40,47.1,36.8,57.6
Teal Mask Ogerpon ex,Thwackey,69,24,34.8,24.6,46.6
Thwackey,Teal Mask Ogerpon ex,69,45,65.2,53.4,75.4
Team Rocket's Mewtwo ex,Marnie's Grimmsnarl ex,57,15,26.3,16.6,39.0
Marnie's Grimmsnarl ex,Team Rocket's Mewtwo ex,57,42,73.7,61.0,83.4
N’s Zoroark ex,Marnie's Grimmsnarl ex,51,32,62.7,49.0,74.7
Marnie's Grimmsnarl ex,N’s Zoroark ex,51,19,37.3,25.3,51.0
N’s Zoroark ex,Dragapult ex,45,27,60.0,45.5,73.0
Dragapult ex,N’s Zoroark ex,45,18,40.0,27.0,54.5
Alakazam,Team Rocket's Mewtwo ex,45,12,26.7,16.0,41.0
Team Rocket's Mewtwo ex,Alakazam,45,33,73.3,59.0,84.0
Thwackey,Thwackey,42,21,50.0,35.5,64.5
Seaking,Marnie's Grimmsnarl ex,40,28,70.0,54.6,81.9
Marnie's Grimmsnarl ex,Seaking,40,12,30.0,18.1,45.4
Cynthia's Garchomp ex,Thwackey,40,1,2.5,0.4,12.9
Thwackey,Cynthia's Garchomp ex,40,39,97.5,87.1,99.6
Marnie's Grimmsnarl ex,Arboliva ex,39,10,25.6,14.6,41.1
Arboliva ex,Marnie's Grimmsnarl ex,39,29,74.4,58.9,85.4
Marnie's Grimmsnarl ex,Mega Starmie ex,37,20,54.1,38.4,69.0
Mega Starmie ex,Marnie's Grimmsnarl ex,37,17,45.9,31.0,61.6
Arboliva ex,Alakazam,37,16,43.2,28.7,59.1
Alakazam,Arboliva ex,37,21,56.8,40.9,71.3
Mega Venusaur ex,Marnie's Grimmsnarl ex,35,23,65.7,49.2,79.2
Marnie's Grimmsnarl ex,Mega Venusaur ex,35,12,34.3,20.8,50.8
Cynthia's Garchomp ex,Teal Mask Ogerpon ex,34,10,29.4,16.8,46.2
Teal Mask Ogerpon ex,Cynthia's Garchomp ex,34,24,70.6,53.8,83.2
N’s Zoroark ex,Mega Lopunny ex,33,26,78.8,62.2,89.3
Mega Lopunny ex,N’s Zoroark ex,33,7,21.2,10.7,37.8
Hydrapple ex,Cynthia's Garchomp ex,33,27,81.8,65.6,91.4
Cynthia's Garchomp ex,Hydrapple ex,33,6,18.2,8.6,34.4
Mega Venusaur ex,Alakazam,29,9,31.0,17.3,49.2
Alakazam,Mega Venusaur ex,29,20,69.0,50.8,82.7
N’s Zoroark ex,Alakazam,29,13,44.8,28.4,62.5
Alakazam,N’s Zoroark ex,29,16,55.2,37.5,71.6
Okidogi,Marnie's Grimmsnarl ex,28,15,53.6,35.8,70.5
Marnie's Grimmsnarl ex,Okidogi,28,13,46.4,29.5,64.2
Dragapult ex,Team Rocket's Mewtwo ex,27,19,70.4,51.5,84.1
Team Rocket's Mewtwo ex,Dragapult ex,27,8,29.6,15.9,48.5
Arboliva ex,Dragapult ex,27,18,66.7,47.8,81.4
Dragapult ex,Arboliva ex,27,9,33.3,18.6,52.2
Mega Kangaskhan ex,Mega Starmie ex,26,10,38.5,22.4,57.5
Mega Starmie ex,Mega Kangaskhan ex,26,15,57.7,38.9,74.5
Arboliva ex,Mega Kangaskhan ex,25,13,52.0,33.5,70.0
Mega Kangaskhan ex,Arboliva ex,25,11,44.0,26.7,62.9
Dragapult ex,Mega Starmie ex,25,14,56.0,37.1,73.3
Mega Starmie ex,Dragapult ex,25,11,44.0,26.7,62.9
Seaking,Mega Lopunny ex,24,13,54.2,35.1,72.1
Mega Lopunny ex,Seaking,24,11,45.8,27.9,64.9
Mega Gardevoir ex,Marnie's Grimmsnarl ex,24,12,50.0,31.4,68.6
Marnie's Grimmsnarl ex,Mega Gardevoir ex,24,12,50.0,31.4,68.6
Chandelure,Marnie's Grimmsnarl ex,23,10,43.5,25.6,63.2
Marnie's Grimmsnarl ex,Chandelure,23,13,56.5,36.8,74.4
Mega Starmie ex,Alakazam,23,8,34.8,18.8,55.1
Alakazam,Mega Starmie ex,23,15,65.2,44.9,81.2
Mega Kangaskhan ex,N’s Zoroark ex,21,8,38.1,20.8,59.1
N’s Zoroark ex,Mega Kangaskhan ex,21,13,61.9,40.9,79.2
Seaking,Alakazam,21,10,47.6,28.3,67.6
Alakazam,Seaking,21,11,52.4,32.4,71.7
Mega Starmie ex,Mega Lopunny ex,20,9,45.0,25.8,65.8
Mega Lopunny ex,Mega Starmie ex,20,11,55.0,34.2,74.2
Mega Gardevoir ex,Alakazam,20,16,80.0,58.4,91.9
Alakazam,Mega Gardevoir ex,20,4,20.0,8.1,41.6
Cynthia's Garchomp ex,Mega Lucario ex,20,14,70.0,48.1,85.5
Mega Lucario ex,Cynthia's Garchomp ex,20,6,30.0,14.5,51.9
Mega Lopunny ex,Arboliva ex,20,7,35.0,18.1,56.7
Arboliva ex,Mega Lopunny ex,20,13,65.0,43.3,81.9
Mega Venusaur ex,Dragapult ex,19,12,63.2,41.0,80.9
Dragapult ex,Mega Venusaur ex,19,7,36.8,19.1,59.0
Mega Kangaskhan ex,Mega Venusaur ex,19,8,42.1,23.1,63.7
Mega Venusaur ex,Mega Kangaskhan ex,19,11,57.9,36.3,76.9
Team Rocket's Mewtwo ex,Mega Kangaskhan ex,19,13,68.4,46.0,84.6
Mega Kangaskhan ex,Team Rocket's Mewtwo ex,19,6,31.6,15.4,54.0
Hydrapple ex,Arboliva ex,19,8,42.1,23.1,63.7
Arboliva ex,Hydrapple ex,19,11,57.9,36.3,76.9
Okidogi,Mega Lopunny ex,18,8,44.4,24.6,66.3
Mega Lopunny ex,Okidogi,18,10,55.6,33.7,75.4
Team Rocket's Honchkrow,Dragapult ex,18,8,44.4,24.6,66.3
Dragapult ex,Team Rocket's Honchkrow,18,10,55.6,33.7,75.4
Dragapult ex,Mega Gardevoir ex,18,11,61.1,38.6,79.7
Mega Gardevoir ex,Dragapult ex,18,7,38.9,20.3,61.4
Seaking,Mega Kangaskhan ex,17,6,35.3,17.3,58.7
Mega Kangaskhan ex,Seaking,17,11,64.7,41.3,82.7
Team Rocket's Mewtwo ex,Mega Lopunny ex,17,3,17.6,6.2,41.0
Mega Lopunny ex,Team Rocket's Mewtwo ex,17,14,82.4,59.0,93.8
Crustle,Hydrapple ex,15,6,40.0,19.8,64.3
Hydrapple ex,Crustle,15,9,60.0,35.7,80.2
Crustle,Marnie's Grimmsnarl ex,14,10,71.4,45.4,88.3
Marnie's Grimmsnarl ex,Crustle,14,4,28.6,11.7,54.6
Seaking,Dragapult ex,14,7,50.0,26.8,73.2
Dragapult ex,Seaking,14,7,50.0,26.8,73.2
Mega Gardevoir ex,Hydrapple ex,14,2,14.3,4.0,39.9
Hydrapple ex,Mega Gardevoir ex,14,12,85.7,60.1,96.0
Latias ex,Alakazam,13,9,69.2,42.4,87.3
Alakazam,Latias ex,13,4,30.8,12.7,57.6
Mega Lucario ex,Arboliva ex,13,5,38.5,17.7,64.5
Arboliva ex,Mega Lucario ex,13,8,61.5,35.5,82.3
Mega Lopunny ex,Mega Gardevoir ex,13,4,30.8,12.7,57.6
Mega Gardevoir ex,Mega Lopunny ex,13,9,69.2,42.4,87.3
Hydrapple ex,N’s Zoroark ex,12,9,75.0,46.8,91.1
N’s Zoroark ex,Hydrapple ex,12,3,25.0,8.9,53.2
Chandelure,Mega Lopunny ex,12,6,50.0,25.4,74.6
Mega Lopunny ex,Chandelure,12,6,50.0,25.4,74.6
Crustle,Alakazam,12,5,41.7,19.3,68.0
Alakazam,Crustle,12,7,58.3,32.0,80.7
Mega Venusaur ex,Mega Lopunny ex,11,3,27.3,9.7,56.6
Mega Lopunny ex,Mega Venusaur ex,11,8,72.7,43.4,90.3
Chandelure,Dragapult ex,11,3,27.3,9.7,56.6
Dragapult ex,Chandelure,11,8,72.7,43.4,90.3
Dragapult ex,Okidogi,11,9,81.8,52.3,94.9
Okidogi,Dragapult ex,11,2,18.2,5.1,47.7
Alakazam,Okidogi,11,4,36.4,15.2,64.6
Okidogi,Alakazam,11,7,63.6,35.4,84.8
Dragapult ex,Crustle,11,3,27.3,9.7,56.6
Crustle,Dragapult ex,11,8,72.7,43.4,90.3
Mega Venusaur ex,Teal Mask Ogerpon ex,10,4,40.0,16.8,68.7
Teal Mask Ogerpon ex,Mega Venusaur ex,10,6,60.0,31.3,83.2
Cynthia's Garchomp ex,Cynthia's Garchomp ex,10,5,50.0,23.7,76.3
Mega Venusaur ex,Hydrapple ex,10,6,60.0,31.3,83.2
Hydrapple ex,Mega Venusaur ex,10,4,40.0,16.8,68.7
Mega Kangaskhan ex,Crustle,10,6,60.0,31.3,83.2
Crustle,Mega Kangaskhan ex,10,4,40.0,16.8,68.7
Team Rocket's Mewtwo ex,Hydrapple ex,10,2,20.0,5.7,51.0
Hydrapple ex,Team Rocket's Mewtwo ex,10,8,80.0,49.0,94.3
Mega Lopunny ex,Team Rocket's Honchkrow,10,7,70.0,39.7,89.2
Team Rocket's Honchkrow,Mega Lopunny ex,10,3,30.0,10.8,60.3
Team Rocket's Honchkrow,Marnie's Grimmsnarl ex,10,1,10.0,1.8,40.4
Marnie's Grimmsnarl ex,Team Rocket's Honchkrow,10,9,90.0,59.6,98.2
Marnie's Grimmsnarl ex,Latias ex,9,5,55.6,26.7,81.1
Latias ex,Marnie's Grimmsnarl ex,9,4,44.4,18.9,73.3
Archaludon ex,Marnie's Grimmsnarl ex,9,6,66.7,35.4,87.9
Marnie's Grimmsnarl ex,Archaludon ex,9,3,33.3,12.1,64.6
Mega Lucario ex,Seaking,9,5,55.6,26.7,81.1
Seaking,Mega Lucario ex,9,4,44.4,18.9,73.3
Alakazam,Chandelure,9,3,33.3,12.1,64.6
Chandelure,Alakazam,9,6,66.7,35.4,87.9
Mega Gardevoir ex,Mega Kangaskhan ex,9,1,11.1,2.0,43.5
Mega Kangaskhan ex,Mega Gardevoir ex,9,8,88.9,56.5,98.0
Team Rocket's Honchkrow,Hydrapple ex,9,5,55.6,26.7,81.1
Hydrapple ex,Team Rocket's Honchkrow,9,4,44.4,18.9,73.3
Teal Mask Ogerpon ex,Chandelure,8,3,37.5,13.7,69.4
Chandelure,Teal Mask Ogerpon ex,8,5,62.5,30.6,86.3
Mega Starmie ex,Teal Mask Ogerpon ex,8,5,62.5,30.6,86.3
Teal Mask Ogerpon ex,Mega Starmie ex,8,3,37.5,13.7,69.4
Crustle,Mega Lopunny ex,8,1,12.5,2.2,47.1
Mega Lopunny ex,Crustle,8,7,87.5,52.9,97.8
Mega Venusaur ex,Mega Lucario ex,8,4,50.0,21.5,78.5
Mega Lucario ex,Mega Venusaur ex,8,4,50.0,21.5,78.5
Team Rocket's Mewtwo ex,Mega Lucario ex,8,5,62.5,30.6,86.3
Mega Lucario ex,Team Rocket's Mewtwo ex,8,3,37.5,13.7,69.4
Mega Gardevoir ex,Teal Mask Ogerpon ex,8,6,75.0,40.9,92.9
Teal Mask Ogerpon ex,Mega Gardevoir ex,8,2,25.0,7.1,59.1
Hydrapple ex,Okidogi,8,3,37.5,13.7,69.4
Okidogi,Hydrapple ex,8,5,62.5,30.6,86.3
Team Rocket's Honchkrow,Alakazam,8,6,75.0,40.9,92.9
Alakazam,Team Rocket's Honchkrow,8,2,25.0,7.1,59.1
Mega Venusaur ex,Thwackey,7,4,57.1,25.0,84.2
Thwackey,Mega Venusaur ex,7,3,42.9,15.8,75.0
Mega Lucario ex,Mega Starmie ex,7,5,71.4,35.9,91.8
Mega Starmie ex,Mega Lucario ex,7,2,28.6,8.2,64.1
Teal Mask Ogerpon ex,Arboliva ex,7,1,14.3,2.6,51.3
Arboliva ex,Teal Mask Ogerpon ex,7,6,85.7,48.7,97.4
Seaking,Hydrapple ex,7,2,28.6,8.2,64.1
Hydrapple ex,Seaking,7,5,71.4,35.9,91.8
Okidogi,Mega Kangaskhan ex,7,4,57.1,25.0,84.2
Mega Kangaskhan ex,Okidogi,7,3,42.9,15.8,75.0
Team Rocket's Honchkrow,Mega Lucario ex,7,3,42.9,15.8,75.0
Mega Lucario ex,Team Rocket's Honchkrow,7,4,57.1,25.0,84.2
Mega Lopunny ex,Archaludon ex,6,3,50.0,18.8,81.2
Archaludon ex,Mega Lopunny ex,6,3,50.0,18.8,81.2
Latias ex,Mega Lopunny ex,6,1,16.7,3.0,56.4
Mega Lopunny ex,Latias ex,6,4,66.7,30.0,90.3
Teal Mask Ogerpon ex,Team Rocket's Mewtwo ex,6,4,66.7,30.0,90.3
Team Rocket's Mewtwo ex,Teal Mask Ogerpon ex,6,2,33.3,9.7,70.0
Hydrapple ex,Mega Starmie ex,6,4,66.7,30.0,90.3
Mega Starmie ex,Hydrapple ex,6,2,33.3,9.7,70.0
Mega Lucario ex,N’s Zoroark ex,6,2,33.3,9.7,70.0
N’s Zoroark ex,Mega Lucario ex,6,4,66.7,30.0,90.3
Team Rocket's Honchkrow,Mega Kangaskhan ex,6,4,66.7,30.0,90.3
Mega Kangaskhan ex,Team Rocket's Honchkrow,6,2,33.3,9.7,70.0
Thwackey,Mega Gardevoir ex,6,2,33.3,9.7,70.0
Mega Gardevoir ex,Thwackey,6,4,66.7,30.0,90.3
Alakazam,Archaludon ex,5,4,80.0,37.6,96.4
Archaludon ex,Alakazam,5,1,20.0,3.6,62.4
Latias ex,Mega Kangaskhan ex,5,1,20.0,3.6,62.4
Mega Kangaskhan ex,Latias ex,5,4,80.0,37.6,96.4
Mega Lucario ex,Okidogi,5,2,40.0,11.8,76.9
Okidogi,Mega Lucario ex,5,3,60.0,23.1,88.2
Thwackey,N’s Zoroark ex,5,2,40.0,11.8,76.9
N’s Zoroark ex,Thwackey,5,3,60.0,23.1,88.2
N’s Zoroark ex,Teal Mask Ogerpon ex,5,3,60.0,23.1,88.2
Teal Mask Ogerpon ex,N’s Zoroark ex,5,2,40.0,11.8,76.9
Alakazam,Mega Heracross ex,5,2,40.0,11.8,76.9
Mega Heracross ex,Alakazam,5,3,60.0,23.1,88.2
Empoleon ex,Marnie's Grimmsnarl ex,4,1,25.0,4.6,69.9
Marnie's Grimmsnarl ex,Empoleon ex,4,3,75.0,30.1,95.4
Dragapult ex,Latias ex,4,4,100.0,51.0,100.0
Latias ex,Dragapult ex,4,0,0.0,0.0,49.0
Thwackey,Brambleghast,4,4,100.0,51.0,100.0
Brambleghast,Thwackey,4,0,0.0,0.0,49.0
Thwackey,Team Rocket's Mewtwo ex,4,2,50.0,15.0,85.0
Team Rocket's Mewtwo ex,Thwackey,4,2,50.0,15.0,85.0
Brambleghast,Dragapult ex,4,0,0.0,0.0,49.0
Dragapult ex,Brambleghast,4,4,100.0,51.0,100.0
Okidogi,Thwackey,4,4,100.0,51.0,100.0
Thwackey,Okidogi,4,0,0.0,0.0,49.0
Brambleghast,Marnie's Grimmsnarl ex,4,0,0.0,0.0,49.0
Marnie's Grimmsnarl ex,Brambleghast,4,4,100.0,51.0,100.0
Thwackey,Mega Starmie ex,4,1,25.0,4.6,69.9
Mega Starmie ex,Thwackey,4,3,75.0,30.1,95.4
Mega Lucario ex,Mega Gardevoir ex,4,1,25.0,4.6,69.9
Mega Gardevoir ex,Mega Lucario ex,4,3,75.0,30.1,95.4
Mega Heracross ex,Dragapult ex,4,2,50.0,15.0,85.0
Dragapult ex,Mega Heracross ex,4,2,50.0,15.0,85.0
Archaludon ex,Mega Lucario ex,3,1,33.3,6.1,79.2
Mega Lucario ex,Archaludon ex,3,2,66.7,20.8,93.9
Cynthia's Garchomp ex,Team Rocket's Mewtwo ex,3,1,33.3,6.1,79.2
Team Rocket's Mewtwo ex,Cynthia's Garchomp ex,3,2,66.7,20.8,93.9
Empoleon ex,Alakazam,3,3,100.0,43.8,100.0
Alakazam,Empoleon ex,3,0,0.0,0.0,56.2
Mega Starmie ex,Cynthia's Garchomp ex,3,2,66.7,20.8,93.9
Cynthia's Garchomp ex,Mega Starmie ex,3,1,33.3,6.1,79.2
Teal Mask Ogerpon ex,Latias ex,3,1,33.3,6.1,79.2
Latias ex,Teal Mask Ogerpon ex,3,2,66.7,20.8,93.9
Mega Lucario ex,Chandelure,3,1,33.3,6.1,79.2
Chandelure,Mega Lucario ex,3,2,66.7,20.8,93.9
Teal Mask Ogerpon ex,Seaking,3,1,33.3,6.1,79.2
Seaking,Teal Mask Ogerpon ex,3,2,66.7,20.8,93.9
Chandelure,Mega Kangaskhan ex,3,1,33.3,6.1,79.2
Mega Kangaskhan ex,Chandelure,3,2,66.7,20.8,93.9
Team Rocket's Mewtwo ex,N’s Zoroark ex,3,2,66.7,20.8,93.9
N’s Zoroark ex,Team Rocket's Mewtwo ex,3,1,33.3,6.1,79.2
Iono’s Bellibolt ex,Mega Lopunny ex,3,1,33.3,6.1,79.2
Mega Lopunny ex,Iono’s Bellibolt ex,3,2,66.7,20.8,93.9
Xerneas,Marnie's Grimmsnarl ex,3,2,66.7,20.8,93.9
Marnie's Grimmsnarl ex,Xerneas,3,1,33.3,6.1,79.2
Thwackey,Chandelure,3,3,100.0,43.8,100.0
Chandelure,Thwackey,3,0,0.0,0.0,56.2
Teal Mask Ogerpon ex,Crustle,3,0,0.0,0.0,56.2
Crustle,Teal Mask Ogerpon ex,3,3,100.0,43.8,100.0
Marnie's Grimmsnarl ex,Mega Heracross ex,3,3,100.0,43.8,100.0
Mega Heracross ex,Marnie's Grimmsnarl ex,3,0,0.0,0.0,56.2
Marnie's Grimmsnarl ex,Cornerstone Mask Ogerpon ex,2,1,50.0,9.5,90.5
Cornerstone Mask Ogerpon ex,Marnie's Grimmsnarl ex,2,1,50.0,9.5,90.5
Ethan's Typhlosion,Marnie's Grimmsnarl ex,2,0,0.0,0.0,65.8
Marnie's Grimmsnarl ex,Ethan's Typhlosion,2,2,100.0,34.2,100.0
N’s Zoroark ex,Seaking,2,0,0.0,0.0,65.8
Seaking,N’s Zoroark ex,2,2,100.0,34.2,100.0
Thwackey,Seaking,2,0,0.0,0.0,65.8
Seaking,Thwackey,2,2,100.0,34.2,100.0
Hydrapple ex,Chandelure,2,1,50.0,9.5,90.5
Chandelure,Hydrapple ex,2,1,50.0,9.5,90.5
Hydrapple ex,Latias ex,2,1,50.0,9.5,90.5
Latias ex,Hydrapple ex,2,1,50.0,9.5,90.5
Archaludon ex,Teal Mask Ogerpon ex,2,2,100.0,34.2,100.0
Teal Mask Ogerpon ex,Archaludon ex,2,0,0.0,0.0,65.8
Latias ex,Cynthia's Garchomp ex,2,0,0.0,0.0,65.8
Cynthia's Garchomp ex,Latias ex,2,2,100.0,34.2,100.0
Chandelure,Seaking,2,0,0.0,0.0,65.8
Seaking,Chandelure,2,2,100.0,34.2,100.0
Crustle,Mega Lucario ex,2,0,0.0,0.0,65.8
Mega Lucario ex,Crustle,2,2,100.0,34.2,100.0
Teal Mask Ogerpon ex,Iono’s Bellibolt ex,2,0,0.0,0.0,65.8
Iono’s Bellibolt ex,Teal Mask Ogerpon ex,2,2,100.0,34.2,100.0
Alakazam,Iono’s Bellibolt ex,2,2,100.0,34.2,100.0
Iono’s Bellibolt ex,Alakazam,2,0,0.0,0.0,65.8
Brambleghast,Alakazam,2,2,100.0,34.2,100.0
Alakazam,Brambleghast,2,0,0.0,0.0,65.8
Okidogi,Teal Mask Ogerpon ex,2,2,100.0,34.2,100.0
Teal Mask Ogerpon ex,Okidogi,2,0,0.0,0.0,65.8
Cynthia's Garchomp ex,N’s Zoroark ex,2,1,50.0,9.5,90.5
N’s Zoroark ex,Cynthia's Garchomp ex,2,1,50.0,9.5,90.5
Cornerstone Mask Ogerpon ex,Mega Kangaskhan ex,2,1,50.0,9.5,90.5
Mega Kangaskhan ex,Cornerstone Mask Ogerpon ex,2,1,50.0,9.5,90.5
Crustle,Thwackey,2,0,0.0,0.0,65.8
Thwackey,Crustle,2,2,100.0,34.2,100.0
Cynthia's Garchomp ex,Arboliva ex,2,1,50.0,9.5,90.5
Arboliva ex,Cynthia's Garchomp ex,2,1,50.0,9.5,90.5
Thwackey,Team Rocket's Honchkrow,2,2,100.0,34.2,100.0
Team Rocket's Honchkrow,Thwackey,2,0,0.0,0.0,65.8
Mega Heracross ex,Mega Lopunny ex,2,1,50.0,9.5,90.5
Mega Lopunny ex,Mega Heracross ex,2,1,50.0,9.5,90.5
Mega Heracross ex,Hydrapple ex,2,0,0.0,0.0,65.8
Hydrapple ex,Mega Heracross ex,2,2,100.0,34.2,100.0
Mega Venusaur ex,N’s Zoroark ex,1,1,100.0,20.7,100.0
N’s Zoroark ex,Mega Venusaur ex,1,0,0.0,0.0,79.3
Hydrapple ex,Ethan's Typhlosion,1,0,0.0,0.0,79.3
Ethan's Typhlosion,Hydrapple ex,1,1,100.0,20.7,100.0
Dragapult ex,Cornerstone Mask Ogerpon ex,1,1,100.0,20.7,100.0
Cornerstone Mask Ogerpon ex,Dragapult ex,1,0,0.0,0.0,79.3
Mega Venusaur ex,Cynthia's Garchomp ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Mega Venusaur ex,1,0,0.0,0.0,79.3
Mega Lopunny ex,Empoleon ex,1,0,0.0,0.0,79.3
Empoleon ex,Mega Lopunny ex,1,1,100.0,20.7,100.0
Cynthia's Garchomp ex,Ethan's Typhlosion,1,1,100.0,20.7,100.0
